x,y,z
-0.005033267863673821,-0.08239939525274315,0.3988068279769965
-0.00935070136923271,-0.06290707961252824,0.3895341270008346
-0.018076083850787652,-0.045165135011201875,0.3798560751927462
-0.030801426121067278,-0.030003155059566952,0.3702252074988954
-0.046931705318715405,-0.01813009708883155,0.3610918525887062
-0.06571268751596773,-0.010101132093751061,0.3528830759867839
-0.08626619485884324,-0.006291685553941814,0.3459827109636347
-0.1076311681875717,-0.006879882955709571,0.3407134109185361
-0.1288086050947642,-0.011838220842282074,0.3373215624651904
-0.14880827216767098,-0.02093485284487999,0.33596576466750744
-0.16669500720199637,-0.03374443056124214,0.33670941312364566
-0.1816324463472135,-0.04966799237417455,0.3395177356583022
-0.19292213155066318,-0.06796097023107228,0.34425941823098255
-0.200036169679816,-0.08776800481853148,0.35071274503459005
-0.20264191621843827,-0.10816294121318024,0.3585759656801455
-0.20061752935446328,-0.12819213485654868,0.36748140470960483
-0.1940576671677061,-0.14691904291472271,0.37701265369163506
-0.1832690615232563,-0.16346801598036548,0.38672404201705896
-0.16875617563037448,-0.17706524246579008,0.39616147596121254
-0.1511976159034976,-0.18707493117276985,0.4048836716018216
-0.13141440108051686,-0.1930290401823364,0.41248278876475547
-0.11033157229909084,-0.19464916197471926,0.4186035011772875
-0.08893493920115782,-0.19185954145554265,0.422959611129691
-0.06822498456972745,-0.18479061817984274,0.42534743176205997
-0.049170082865904075,-0.17377292714344733,0.4256553112354969
-0.0326612201153563,-0.15932164333393417,0.42386885344800734
-0.019470332392016662,-0.14211249272078774,0.420071591180229
-0.010214210945209815,-0.12295015606008172,0.4144410801954495
-0.005325661726348274,-0.10273064291666302,0.4072405969294534
-0.005033267863673818,-0.08239939525274317,0.3988068279769965
