x,y,z
-0.1343633654422806,-0.008283241155830401,0.45481909530115866
-0.1541752537765712,-0.011282172611776779,0.44570487151423427
-0.17166511509419727,-0.017358819013609573,0.43379887705416065
-0.1860151429185313,-0.026229043129286478,0.4196578229893285
-0.19655434589741788,-0.03747808313770447,0.40394292929115666
-0.2027899226130471,-0.05057994643047993,0.38738900692312167
-0.20443030442854182,-0.06492200444171785,0.3707700988967896
-0.201398788913363,-0.07983363847886531,0.3548632868808822
-0.19383712636371292,-0.09461759710743624,0.3404123557261114
-0.18209889171622884,-0.10858259885314848,0.32809301491221793
-0.1667329517769164,-0.1210756557553572,0.31848130312369555
-0.1484578008193222,-0.1315126063583506,0.3120266533211251
-0.12812796459085185,-0.13940543045177012,0.30903087775544696
-0.10669404363855861,-0.14438506835325146,0.3096340555625467
-0.08515826428407954,-0.14621867772899128,0.31380798281854827
-0.06452761563473039,-0.1448205210424905,0.3213574913239481
-0.0457667638920357,-0.14025597454647035,0.33192957445170973
-0.029752945632294733,-0.1327384713619556,0.3450298933448055
-0.01723494919925235,-0.12261952158274955,0.3600458916517529
-0.008798102193363841,-0.11037227605412298,0.37627543798080243
-0.004836902203742555,-0.09656940236515861,0.3929596567834532
-0.005536570539345628,-0.08185630754876021,0.40931841253167034
-0.010864391486425776,-0.06692095956611219,0.42458678798811844
-0.0205712420589452,-0.05246171868943609,0.43805085088603457
-0.03420324071252244,-0.03915468295183331,0.4490810366085432
-0.05112297034099453,-0.027622074554686172,0.4571615859304308
-0.07053928319186295,-0.018403145449071675,0.4619146613462915
-0.09154429405590282,-0.011928962513864579,0.46311801433234334
-0.11315583197050458,-0.008502251347577589,0.4607153774403896
-0.13436336544228059,-0.0082832411558304,0.45481909530115866
